classifier,nsig,accuracy,f1,precision,recall,roc_auc
tree,0.1,0.8649598803209575,0.8658010470813444,0.8656199388846447,0.8683720930232559,0.8649179206566349
tree,0.11,0.8604651162790697,0.8610579041862806,0.8592808114091073,0.8639534883720931,0.8604651162790697
tree,0.12,0.8616279069767442,0.8632109178026,0.8550486189906531,0.8732558139534884,0.8616279069767442
tree,0.13,0.8523255813953489,0.8524561957027851,0.8542871563558935,0.8523255813953489,0.8523255813953489
tree,0.14,0.8552325581395348,0.8541176230804679,0.860662486322769,0.8488372093023255,0.8552325581395348
tree,0.15,0.8703488372093023,0.8696826882167882,0.8747445696690817,0.8651162790697674,0.8703488372093023
tree,0.16,0.8796511627906977,0.8795171869488707,0.8827911250594056,0.8767441860465116,0.8796511627906977
tree,0.17,0.8843023255813953,0.8846365432538326,0.884121920236068,0.8860465116279069,0.8843023255813953
tree,0.18,0.8761627906976746,0.876468216891521,0.8742317477117986,0.8802325581395349,0.8761627906976743
tree,0.19,0.872093023255814,0.873977625951866,0.8619702805790643,0.8872093023255815,0.872093023255814
tree,0.2,0.8697674418604651,0.8717611665811761,0.8582007330001064,0.8860465116279072,0.8697674418604651
tree,0.21,0.8837209302325582,0.8833580499851876,0.8872704866048216,0.8802325581395349,0.8837209302325582
tree,0.22,0.8738372093023254,0.8743004423764933,0.8691632376759515,0.8802325581395349,0.8738372093023254
tree,0.23,0.8831395348837209,0.8832483742928787,0.8812893307242315,0.8860465116279069,0.8831395348837209
tree,0.24,0.8847613219094248,0.8847489382778726,0.8865015281739833,0.8835978112175102,0.8847811217510261
tree,0.25,0.878937168502652,0.8785563371326323,0.8801321276317733,0.8777291381668947,0.8789192886456909
tree,0.26,0.8870835033319733,0.8873595845944615,0.8861111814958432,0.8893980848153216,0.8870725034199726
tree,0.27,0.9027879776961786,0.9027636895366319,0.902957935191951,0.9033515731874147,0.9027838577291382
tree,0.28,0.8899768801849586,0.8895970910697895,0.8913818909887509,0.8893160054719564,0.8899384404924762
tree,0.29,0.8952196382428941,0.8959711831641151,0.8917613147261159,0.9010259917920658,0.8952120383036937
tree,0.3,0.8946212430300557,0.8955847550559135,0.8905514894972326,0.9010670314637483,0.894610123119015
tree,0.31,0.8882122943016455,0.88807967891706,0.8908115356161806,0.8859097127222982,0.8881874145006841
tree,0.32,0.8870971032231741,0.8876498514470621,0.8839679627650364,0.8917510259917922,0.887093023255814
tree,0.33,0.8894124847001225,0.88948787464322,0.8916016798409355,0.8882489740082079,0.8894186046511627
tree,0.34,0.8911600707194343,0.8923342786803621,0.8845012187403993,0.9010533515731876,0.891169630642955
tree,0.35,0.8893852849177206,0.8893097827595751,0.8900932566679203,0.8894117647058823,0.8894186046511627
tree,0.36,0.8824051407588739,0.8820119930717224,0.8843605465707363,0.8800410396716826,0.8823939808481531
tree,0.37,0.8870835033319734,0.8868054714161756,0.8897665140956565,0.8846922024623805,0.8870656634746922
tree,0.38,0.8923058615531076,0.8918106553887839,0.8960595068327745,0.8881942544459646,0.8922708618331054
tree,0.39,0.8946212430300559,0.8937261542602206,0.9035999930521857,0.885923392612859,0.894610123119015
tree,0.4,0.8952162382700939,0.8947522406530514,0.8993963541520488,0.8905335157318742,0.8952120383036937
tree,0.41,0.8911498708010337,0.8911090481509373,0.8924722187697611,0.8906019151846785,0.891169630642955
tree,0.42,0.8818441452468381,0.8822690151137088,0.8814134358755524,0.8847606019151847,0.8818536251709986
tree,0.43,0.8847545219638242,0.8857943841476217,0.8784160265479007,0.8940629274965801,0.8847606019151847
tree,0.44,0.8783557731538147,0.8779271211602028,0.8844282530837152,0.8742954856361148,0.8783789329685362
tree,0.45,0.8864919080647354,0.8865747831868577,0.8867570914812216,0.8870998632010944,0.8864705882352941
tree,0.46,0.889983680130559,0.8898803750658913,0.8903988625258551,0.8905608755129959,0.8899931600547196
tree,0.47,0.8824119407044744,0.8826369564752674,0.8811418727342201,0.884733242134063,0.8824076607387141
tree,0.48,0.8870835033319733,0.8871098730152317,0.8908289394096329,0.8847879616963065,0.8870725034199726
tree,0.49,0.8795083639330885,0.8806419995529764,0.8727417676893717,0.8894254445964431,0.8794938440492477
tree,0.5,0.8760267917856657,0.8763113620946481,0.8769532498694342,0.8777975376196989,0.8760738714090287
tree,0.51,0.8800999592003265,0.881883606928818,0.8728407343953396,0.8929411764705882,0.8801231190150478
tree,0.52,0.8754249966000274,0.8752399339778936,0.8808192977589441,0.8708344733242134,0.875437756497948
tree,0.53,0.8876376988984088,0.8864071820331724,0.8972041651074598,0.8765937072503419,0.8876607387140902
tree,0.54,0.8835883312933497,0.8835889766487043,0.8843744784339813,0.8836251709986319,0.8835841313269492
tree,0.55,0.8760301917584659,0.8751271485343489,0.8829263904037467,0.868454172366621,0.8760396716826266
tree,0.56,0.8765809873521011,0.8762381350802272,0.8806466768786356,0.8731326949384405,0.8765868673050615
tree,0.57,0.86671766625867,0.8654122007560906,0.8741715459841103,0.8579890560875512,0.8667168262653899
tree,0.58,0.874265605875153,0.8744579758675941,0.8738078582347507,0.8766073871409029,0.874247606019152
tree,0.59,0.8725112199102408,0.8715417008948864,0.8782999904671975,0.8661149110807113,0.8724965800273597
tree,0.6,0.8771827825377396,0.8768374878839019,0.8779044262838817,0.8766210670314637,0.8771956224350204
tree,0.61,0.8729226166190671,0.8740366219433143,0.8684431632334005,0.8811354309165527,0.8729411764705881
tree,0.62,0.8670950632394941,0.8666185881378012,0.8710751077080016,0.8648016415868673,0.8671614227086183
tree,0.63,0.8781653746770026,0.877789659478126,0.8793452512385578,0.8776470588235294,0.8782421340629275
tree,0.64,0.8717598259213926,0.8706583089447776,0.8761734299246544,0.8658960328317373,0.8717510259917921
tree,0.65,0.8560349517203862,0.8570095463251775,0.8508545012161705,0.8636798905608755,0.8560738714090288
tree,0.66,0.87046783625731,0.8689550647677979,0.8773277820079957,0.8633926128590972,0.8704582763337892
tree,0.67,0.8762681898544813,0.8759106878161523,0.8796380938675531,0.8739671682626537,0.8763132694938441
tree,0.68,0.8797973616211069,0.8785748570067279,0.8911395355775044,0.8680984952120383,0.8798221614227086
tree,0.69,0.8798041615667074,0.8801780414639913,0.8759255400857218,0.8855266757865937,0.8797332421340629
tree,0.7,0.8897218822249423,0.8896100605060855,0.8920763272478037,0.8879890560875513,0.8897058823529411
tree,0.71,0.8757003943968448,0.8755890602430048,0.8777400310250917,0.8750615595075241,0.8756566347469221
tree,0.72,0.8562899496804025,0.8549562992916963,0.8603467395522969,0.850328317373461,0.85625170998632
tree,0.73,0.8738032095743234,0.8733898667666763,0.8775228816350292,0.8702325581395348,0.8737688098495212
tree,0.74,0.8597919216646266,0.8588504814346726,0.8646559447406432,0.8539398084815322,0.8597742818057454
tree,0.75,0.8609921120631034,0.8599749660311783,0.8667985836893809,0.8538987688098494,0.8609644322845418
tree,0.76,0.8755983952128383,0.8746533399284873,0.8785879983135884,0.8725718194254446,0.8755882352941174
tree,0.77,0.853984768121855,0.8519791677925129,0.8620760114359886,0.8433242134062928,0.8539124487004104
tree,0.78,0.8674146606827146,0.8665539299612902,0.8699563563630741,0.8654993160054719,0.8672982216142271
tree,0.79,0.8563001495988031,0.8574790424148532,0.853918457627245,0.8621340629274966,0.8562585499316006
tree,0.8,0.8639092887256903,0.862750752852888,0.8682290749649949,0.8585225718194256,0.8638235294117648
tree,0.81,0.8673636610907112,0.8670017928074832,0.8684342616483329,0.8667168262653899,0.8673119015047879
tree,0.82,0.8749694002447981,0.8754368037473712,0.871040319998596,0.8807934336525307,0.8749042407660739
tree,0.83,0.8639126886984905,0.863426513690103,0.86834104305727,0.8597400820793434,0.8638850889192886
tree,0.84,0.8619883040935672,0.8613619866416077,0.865181953644784,0.8598084815321478,0.8620998632010943
tree,0.85,0.8649122807017544,0.8645957731781613,0.8666064419384314,0.8632010943912449,0.8649863201094391
tree,0.86,0.8565565875472995,0.8578504210365947,0.8536070700111246,0.8641313269493844,0.8564979480164159
tree,0.87,0.8562504299965601,0.8565851273284389,0.8576122585392456,0.8568262653898768,0.8562038303693571
tree,0.88,0.8636773305813552,0.8625636074794361,0.8680874708934034,0.8578385772913817,0.8636798905608755
tree,0.89,0.8624767801857585,0.8625908871272824,0.8608322520675926,0.864829001367989,0.8624692202462381
tree,0.9,0.8519676642586861,0.8520032274784721,0.8530242374481917,0.851983584131327,0.8519767441860466
tree,0.91,0.8580508179603201,0.8576540606962031,0.8604893599142965,0.856358543417367,0.858095238095238
tree,0.92,0.8614792899408285,0.860846029878604,0.8658635297495035,0.8573669467787115,0.8615126050420168
tree,0.93,0.8696449704142012,0.8702112572434025,0.8700087052988182,0.8714285714285713,0.8695798319327732
tree,0.94,0.8614340410720501,0.8596718820122717,0.8677028024801409,0.853781512605042,0.8614565826330531
tree,0.95,0.8611033762617474,0.8599340997305539,0.867553135965044,0.853375350140056,0.8611274509803921
tree,0.96,0.8652245040027846,0.8649461426473263,0.8667159820382345,0.8640336134453781,0.8652521008403362
tree,0.97,0.8557918552036199,0.854438250436307,0.8638513722444383,0.8463725490196078,0.8558473389355742
tree,0.98,0.8557988165680473,0.85729263293002,0.8499273111786534,0.8652100840336134,0.8557983193277312
tree,0.99,0.8480995475113122,0.8472682750049618,0.8526891786291084,0.8427731092436975,0.8480742296918768
tree,1.0,0.8629895745280362,0.8627169519799753,0.8655332843693347,0.8613025210084034,0.8629971988795517
tree,1.01,0.844590025359256,0.8428777694682239,0.8519464882297146,0.8351540616246498,0.8445868347338935
tree,1.02,0.8636341222879684,0.8624871467187345,0.8690064039373686,0.8564985994397759,0.8636064425770307
tree,1.03,0.8535714285714284,0.8535741830821962,0.8537817884319969,0.8547619047619047,0.8535714285714284
tree,1.04,0.8556315939549473,0.8556982323135504,0.853123675502211,0.8592656339644291,0.8556511761331038
tree,1.05,0.8516894781864842,0.8519616197561437,0.8495369338359374,0.855364314400459,0.8517713711990821
tree,1.06,0.8482973811413318,0.8469195915683754,0.853981850412836,0.8405192197360872,0.8483362019506598
tree,1.07,0.8523519226607028,0.8521540103137054,0.8514660114293342,0.853542742398164,0.8523164084911073
tree,1.08,0.8515294711781257,0.8501701980628915,0.8580606453514431,0.8437751004016064,0.8516064257028113
tree,1.09,0.849722242262463,0.8493372684525164,0.8525635805204775,0.8473752151462994,0.8497274813539875
tree,1.1,0.852626073154895,0.8512110761411634,0.857768310522103,0.8460126219162364,0.8526104417670682
tree,1.11,0.8633734939759036,0.8627422123074618,0.8649059374473216,0.8621951219512196,0.8633632089332941
tree,1.12,0.8639686016794451,0.8646233152238783,0.8616702953642044,0.8694534234498972,0.8639729650308551
tree,1.13,0.8632018985031034,0.8612290940219243,0.8737019658388228,0.8499412283279459,0.8632897443432267
tree,1.14,0.8587878787878788,0.859519346092763,0.8585098702857351,0.8617690273288275,0.8587863649720834
tree,1.15,0.8474944567627494,0.8473406730476493,0.8466211067011014,0.8493682045254187,0.8475242433147224
tree,1.16,0.8531966001478196,0.8528096239850237,0.8570595719960352,0.8501763150161622,0.8531663238319129
tree,1.17,0.8583719886278617,0.857940376015114,0.860621048944792,0.8559168925022584,0.8583634447455586
tree,1.18,0.8506396827771958,0.8477642554954503,0.8643838510541577,0.8335140018066847,0.8506398675097863
tree,1.19,0.8527607361963192,0.8538629493191534,0.8505508394181666,0.8588828666064439,0.8527702499247216
tree,1.2,0.8515791865485118,0.8503356697207385,0.8568448241214426,0.8447907256850347,0.8515206263173744
tree,1.21,0.8580246913580247,0.8571071763836533,0.8609242739173142,0.8543209876543211,0.8580246913580247
tree,1.22,0.847987117552335,0.8484244460990371,0.8468290418267619,0.8517438271604938,0.8480092592592593
tree,1.23,0.8401541292845641,0.8393053147147379,0.8433483519255525,0.8365432098765432,0.8401543209876543
tree,1.24,0.8492676941952304,0.8487742352063853,0.8502609405846373,0.8486419753086419,0.8492669753086419
tree,1.25,0.8451591614906832,0.8441950234892082,0.8507913105968627,0.838287037037037,0.8451080246913578
tree,1.26,0.8539246894409939,0.8530679540498276,0.8583034052405439,0.8489043209876543,0.8539351851851851
tree,1.27,0.8429363207547169,0.8420562900977586,0.8474199451403095,0.8390981012658228,0.842871835443038
tree,1.28,0.8453427274898495,0.8449599667502173,0.8473158949071393,0.8434493670886075,0.8453639240506329
tree,1.29,0.8492179311456904,0.8501020175580638,0.8456344916913879,0.8555501460564752,0.8492210321324245
tree,1.3,0.8291219866161412,0.8264084973308314,0.8380492368695815,0.8170236936059722,0.8290652385589095
tree,1.31,0.860958680385432,0.8599971270267549,0.8637045370420855,0.8585524180460888,0.8610759493670885
tree,1.32,0.8531193859219337,0.8543300815783541,0.8485506987509426,0.8608081791626094,0.8531645569620252
tree,1.33,0.8518944961620122,0.8521823611990085,0.8478691342131489,0.8582927620902303,0.8518825056799739
tree,1.34,0.846553976808754,0.8426838523568227,0.8605983493157288,0.8273774748458292,0.8465757870821162
tree,1.35,0.8512820512820513,0.8513667114175053,0.8535056306543641,0.8512820512820513,0.8512820512820513
tree,1.36,0.8361207609594705,0.8352324211863069,0.8393030861549204,0.8328671328671329,0.8360889110889111
tree,1.37,0.847940446650124,0.8458735091698919,0.8595707568280471,0.8349983349983351,0.8479770229770229
tree,1.38,0.8382697947214076,0.8407100870709614,0.8269834736003471,0.8576257076257076,0.8382700632700633
tree,1.39,0.8331168831168831,0.8317510443693248,0.8392073960577526,0.825974025974026,0.8331168831168831
tree,1.4,0.8550505050505051,0.8535871898686131,0.8628620616755773,0.8452494873547505,0.8550324675324674
tree,1.41,0.8366013071895425,0.8370504210936511,0.8359972910845004,0.8392515379357486,0.836637047163363
tree,1.42,0.8546052631578949,0.8538052558489682,0.8582694418753893,0.85,0.8546052631578949
tree,1.43,0.836205995120251,0.835413949577162,0.8396663211365132,0.8336315789473684,0.8362719298245613
tree,1.44,0.841055187637969,0.8388581144996434,0.849263473947332,0.8297543859649122,0.841061403508772
tree,1.45,0.8348432671081676,0.8340407493552678,0.8381926736949072,0.8309298245614034,0.8348947368421052
tree,1.46,0.8417941834451901,0.8417094805321204,0.8419703866276906,0.8424684684684685,0.8418018018018018
tree,1.47,0.8324116331096196,0.8306360434009799,0.8376750912624067,0.8256216216216217,0.8323513513513513
tree,1.48,0.8579766007618357,0.8578331415089406,0.8580817754365228,0.8599639639639639,0.857918918918919
tree,1.49,0.8351351351351353,0.8356479034123115,0.8367690758126056,0.835135135135135,0.835135135135135
tree,1.5,0.8428571428571429,0.8424882282074024,0.8482423251731473,0.840633098852277,0.8426416142169566
rf,0.1,0.9022065823473412,0.9043511963317854,0.8873187422612782,0.923091655266758,0.9597407183533229
rf,0.11,0.9017441860465117,0.9043611999766782,0.8835563539499229,0.9267441860465118,0.9612425635478636
rf,0.12,0.9046511627906977,0.9067105384156913,0.8888881557738804,0.9255813953488374,0.9609451054624121
rf,0.13,0.8959302325581394,0.8983360843009367,0.879463869531877,0.9186046511627908,0.9604313142239048
rf,0.14,0.905232558139535,0.9074216705893298,0.8892732674517289,0.9267441860465115,0.9613236884802596
rf,0.15,0.9087209302325581,0.910216811079775,0.898060367134011,0.9232558139534885,0.9621011357490534
rf,0.16,0.9122093023255815,0.9139425839767583,0.8986255905776922,0.930232558139535,0.9618645213628989
rf,0.17,0.905232558139535,0.9071152187995404,0.8909602102803479,0.9244186046511629,0.962378312601406
rf,0.18,0.9098837209302326,0.9113765871020743,0.8983016574355343,0.9255813953488374,0.9633112493239591
rf,0.19,0.9058139534883722,0.9076066398171567,0.8932930701416215,0.9232558139534884,0.9625473228772309
rf,0.2,0.9081395348837209,0.909625622702895,0.8952866038913152,0.9255813953488374,0.9645889670091942
rf,0.21,0.905232558139535,0.9066071397357305,0.8936657866199397,0.9209302325581398,0.9657179556517036
rf,0.22,0.9087209302325581,0.9098250104444574,0.8996313011139145,0.9209302325581398,0.9666373715521903
rf,0.23,0.9069767441860466,0.9083913971250943,0.8953835285063217,0.9220930232558141,0.966901027582477
rf,0.24,0.9126784985720114,0.9138647509163901,0.9006287417502532,0.9278385772913816,0.9676306747685552
rf,0.25,0.9138242894056848,0.9146872294032524,0.9046070521511144,0.9254719562243503,0.9683355072694301
rf,0.26,0.9150108799129606,0.9161445415327064,0.9076718062252853,0.9254993160054721,0.9715027996055101
rf,0.27,0.918502651978784,0.9193665596370553,0.9106293033229627,0.9289603283173735,0.9720789456940157
rf,0.28,0.9237420100639195,0.9242013719612835,0.9175846319445512,0.931326949384405,0.9746607864346387
rf,0.29,0.9220012239902081,0.9226994077527084,0.9173694227314746,0.9289876880984952,0.9753579836477586
rf,0.3,0.9150108799129608,0.9155656466941385,0.91059165433735,0.9208344733242134,0.9731941749117169
rf,0.31,0.9179178566571468,0.9186137470137536,0.9139016550535543,0.9243502051983585,0.9741978175802501
rf,0.32,0.921436828505372,0.9220461106063771,0.915854120498745,0.9289740082079344,0.9739289122896319
rf,0.33,0.9179348565211477,0.9187582268697619,0.9105870414355042,0.9278248974008209,0.9740816975789774
rf,0.34,0.9225996192030463,0.923235089539203,0.9197154927395035,0.9278385772913819,0.9739651003722203
rf,0.35,0.9161940704474365,0.9166982878638594,0.9134580128258287,0.9208618331053353,0.9722443769287054
rf,0.36,0.919094247246022,0.9197430831068468,0.9144587980723445,0.925512995896033,0.9722571819425445
rf,0.37,0.9226030191758466,0.9230413571044055,0.9185705736348183,0.9278385772913816,0.9730907803900359
rf,0.38,0.9248980008159935,0.925766942472068,0.9172195622690518,0.9348153214774282,0.9741364171412211
rf,0.39,0.9225724194206444,0.9232914640745207,0.9161637033839133,0.931326949384405,0.9748072089841886
rf,0.4,0.925486196110431,0.9263371092753354,0.9176591678827488,0.9359644322845417,0.9729417332103203
rf,0.41,0.917921256629947,0.918876620164211,0.9119277527933995,0.9266621067031464,0.9733757515986383
rf,0.42,0.9260675914592682,0.9266908410321664,0.9226983489436751,0.9313132694938441,0.9731391372124836
rf,0.43,0.9196620427036584,0.9203409884468682,0.9133469086053289,0.9278248974008209,0.9725960773709159
rf,0.44,0.9161906704746363,0.9168774472255967,0.913654080371568,0.9220383036935704,0.9734476505583306
rf,0.45,0.9214198286413708,0.9218168896249563,0.9184551198808194,0.9254993160054721,0.9714943689752807
rf,0.46,0.9161940704474365,0.9165949565917344,0.9132778010406553,0.9208755129958961,0.9719096968154487
rf,0.47,0.9126920984632122,0.9136076150633446,0.9059245960866436,0.9220109439124489,0.9708157827760633
rf,0.48,0.9161838705290359,0.9169971108789848,0.9106675825675603,0.9243365253077978,0.9706256959246652
rf,0.49,0.9219876240990071,0.9222538817166284,0.921743547013017,0.9231737346101232,0.9695281233098972
rf,0.5,0.9167652658778731,0.9175163616675789,0.9104924277325747,0.9254993160054721,0.9708607196258707
rf,0.51,0.9173602611179111,0.9178438466514116,0.9161000891544896,0.9208481532147743,0.9696576845989882
rf,0.52,0.9173500611995105,0.9180811322923054,0.9160290861375906,0.9208618331053353,0.9695658225431872
rf,0.53,0.9138548891608866,0.9141633103169244,0.9115441121207672,0.917373461012312,0.9693638055546717
rf,0.54,0.915017679858561,0.9157476033439759,0.9101875765017307,0.9220109439124486,0.9688028505074284
rf,0.55,0.917951856385149,0.9183246091298507,0.916452982427989,0.9208481532147743,0.9676487290427257
rf,0.56,0.9161668706650345,0.9169957460897284,0.9134984880021791,0.9220109439124489,0.9698219228199664
rf,0.57,0.9115259077927377,0.9121223118362888,0.9077464066968923,0.917373461012312,0.9705458435402285
rf,0.58,0.9202672378620971,0.920608135767161,0.9172891766848137,0.9243502051983585,0.9687024782871504
rf,0.59,0.9126818985448116,0.9131059653290666,0.9108547836931351,0.9162106703146374,0.9672421499697771
rf,0.6,0.9138684890520876,0.9141605624200706,0.9118915530668545,0.917373461012312,0.9659284828046957
rf,0.61,0.9137358901128791,0.9140661530716401,0.9113907100664829,0.9172777017783857,0.9659987115451913
rf,0.62,0.9108119135046918,0.9107705252697584,0.912101836909456,0.9102872777017785,0.9659028727770178
rf,0.63,0.9119781041751664,0.91257310625647,0.9087819821946193,0.9172777017783857,0.9648810167658194
rf,0.64,0.9096457228342173,0.9091340006237024,0.9123406551261926,0.9068125854993161,0.965118346960201
rf,0.65,0.9067285461716306,0.9065816411442137,0.9082993922872203,0.9056224350205199,0.9642724207043554
rf,0.66,0.9089793281653746,0.908849027806777,0.9108064757566211,0.9077701778385773,0.9664266057964561
rf,0.67,0.9072181422548621,0.9070573012124225,0.911693869633026,0.9042544459644324,0.9683200776254255
rf,0.68,0.9031211750305997,0.9029739955785028,0.9060681261075478,0.9007523939808483,0.9631992651035535
rf,0.69,0.9025567795457636,0.9018866948453572,0.9071952947950201,0.897264021887825,0.9651643972894728
rf,0.7,0.9048823609411125,0.9049030222317009,0.9056978767131181,0.9054309165526677,0.9652559412082844
rf,0.71,0.8996192030463757,0.8990646452356643,0.9039566305332117,0.8949384404924761,0.9626965291254412
rf,0.72,0.9018461852305182,0.9012238471652699,0.9032116912466257,0.9005745554035569,0.9629140552922089
rf,0.73,0.9012545899632801,0.9009788222663431,0.9068571497171479,0.8959644322845419,0.9615467820443483
rf,0.74,0.900686794505644,0.9003196934773505,0.9024269464439427,0.8994117647058824,0.9621281773931853
rf,0.75,0.8989494084047326,0.8986815323011459,0.8996827726046893,0.8983173734610125,0.9597334012025577
rf,0.76,0.8942880456956346,0.8938149608669457,0.8984250259799161,0.8901367989056089,0.9597469220246237
rf,0.77,0.9024615803073575,0.9013452708389137,0.9094265731174991,0.8947332421340631,0.9611051283682753
rf,0.78,0.8942540459676322,0.8939793910660898,0.8942364246258006,0.8947469220246239,0.9584978366684694
rf,0.79,0.8960220318237454,0.8955570342036072,0.9024489528111292,0.8912585499316007,0.9592496739095854
rf,0.8,0.8966238270093839,0.8957354617173443,0.9000236143722692,0.8923666210670316,0.9578881271275412
rf,0.81,0.8971848225214198,0.8965337900508004,0.9028763025853687,0.8912722298221615,0.9596703305443324
rf,0.82,0.8948354413164694,0.8941215377663936,0.9004524115848154,0.8889056087551301,0.9577113224954665
rf,0.83,0.8942540459676322,0.8937245092658493,0.896598043135134,0.8911764705882353,0.9574902172875641
rf,0.84,0.8900584795321637,0.8896206333692593,0.8928930923524485,0.8877564979480164,0.9583447332421342
rf,0.85,0.8947368421052632,0.893718488924009,0.9009030675128255,0.8877838577291381,0.9596580027359781
rf,0.86,0.8963639490884073,0.8960997608193437,0.9011546986248344,0.8922298221614227,0.9590049891365575
rf,0.87,0.8937839697282423,0.8936442574508643,0.8946771556109466,0.8932421340629275,0.9573193852096242
